,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
339,HI,NV,13627.0
340,HI,NY,4845.0
341,HI,OR,26735.0
342,HI,TT,6372.0
343,HI,TX,32049.0
344,HI,UT,10783.0
345,HI,WA,69211.0
346,IA,AZ,14161.0
347,IA,CO,12346.0
348,IA,DC,1256.0
349,IA,FL,12051.0
350,IA,GA,7214.0
351,IA,IA,160.0
352,IA,IL,19828.0
353,IA,IN,110.0
354,IA,KS,28.0
355,IA,MI,5044.0
356,IA,MN,5296.0
357,IA,MO,3198.0
358,IA,NC,5733.0
359,IA,NE,54.0
360,IA,NJ,41.0
361,IA,NV,4846.0
362,IA,NY,614.0
363,IA,PA,613.0
364,IA,TN,1057.0
365,IA,TX,11871.0
366,IA,UT,731.0
367,ID,AZ,8937.0
368,ID,CA,20497.0
369,ID,CO,12361.0
370,ID,ID,102.0
371,ID,IL,2381.0
372,ID,MN,2915.0
373,ID,NV,4282.0
374,ID,OR,5787.0
375,ID,TX,5270.0
376,ID,UT,17265.0
377,ID,WA,20026.0
378,IL,AL,6856.0
379,IL,AR,8092.0
380,IL,AZ,75818.0
381,IL,CA,156223.0
382,IL,CO,67388.0
383,IL,CT,11037.0
384,IL,DC,37762.0
385,IL,FL,274446.0
386,IL,GA,62035.0
387,IL,HI,9954.0
388,IL,IA,21731.0
389,IL,ID,2542.0
390,IL,IL,27595.0
391,IL,IN,21603.0
392,IL,KS,6295.0
393,IL,KY,28403.0
394,IL,LA,17119.0
395,IL,MA,36036.0
396,IL,MD,21688.0
397,IL,ME,2154.0
398,IL,MI,62205.0
399,IL,MN,54534.0
400,IL,MO,50041.0
401,IL,MS,1102.0
402,IL,MT,5335.0
403,IL,NC,43711.0
404,IL,ND,6678.0
405,IL,NE,20033.0
406,IL,NH,2943.0
407,IL,NJ,22675.0
408,IL,NM,5758.0
409,IL,NV,49172.0
410,IL,NY,90153.0
411,IL,OH,48787.0
412,IL,OK,10511.0
413,IL,OR,13769.0
414,IL,PA,56763.0
415,IL,PR,6780.0
416,IL,RI,5529.0
417,IL,SC,12401.0
418,IL,SD,5492.0
419,IL,TN,32559.0
420,IL,TX,138392.0
421,IL,UT,18058.0
422,IL,VA,15084.0
423,IL,VI,491.0
424,IL,VT,2714.0
425,IL,WA,26281.0
426,IL,WI,41404.0
427,IL,WV,2202.0
428,IL,WY,3092.0
429,IN,AZ,11459.0
430,IN,CA,6413.0
431,IN,CO,10313.0
432,IN,DC,6209.0
433,IN,FL,69239.0
434,IN,GA,25924.0
435,IN,IA,168.0
436,IN,IL,21277.0
437,IN,IN,1.0
438,IN,KY,4.0
439,IN,LA,740.0
440,IN,MA,2109.0
441,IN,MD,4559.0
442,IN,MI,10873.0
443,IN,MN,6417.0
444,IN,MO,1594.0
445,IN,MS,253.0
446,IN,NC,13772.0
447,IN,NE,39.0
448,IN,NJ,3878.0
449,IN,NV,9272.0
450,IN,NY,6175.0
451,IN,OK,52.0
452,IN,PA,3792.0
453,IN,SC,434.0
454,IN,TN,13.0
455,IN,TX,25006.0
456,IN,UT,1445.0
457,IN,WA,3170.0
458,IN,WI,114.0
459,KS,AZ,4228.0
460,KS,CO,6309.0
461,KS,FL,518.0
462,KS,GA,4402.0
463,KS,IL,5717.0
464,KS,KS,180.0
465,KS,MN,1447.0
466,KS,MO,2760.0
467,KS,NJ,3.0
468,KS,NV,2085.0
469,KS,OK,32.0
470,KS,TX,14017.0
471,KS,WA,968.0
472,KY,AZ,7349.0
473,KY,CA,5665.0
474,KY,CO,10908.0
475,KY,CT,585.0
476,KY,DC,10052.0
477,KY,FL,65130.0
478,KY,GA,34587.0
479,KY,IL,28004.0
480,KY,IN,19.0
481,KY,LA,1818.0
482,KY,MA,2671.0
483,KY,MD,7430.0
484,KY,MI,9426.0
485,KY,MN,6619.0
486,KY,MO,1790.0
487,KY,MS,107.0
488,KY,NC,17702.0
489,KY,NJ,6441.0
490,KY,NV,6768.0
491,KY,NY,8427.0
492,KY,OH,1.0
493,KY,OK,7.0
494,KY,PA,5720.0
495,KY,SC,580.0
496,KY,TN,179.0
497,KY,TX,26635.0
498,KY,UT,2450.0
499,KY,WA,848.0
500,LA,AL,1.0
501,LA,AR,18.0
502,LA,AZ,5568.0
503,LA,CA,24112.0
504,LA,CO,16613.0
505,LA,CT,42.0
506,LA,DC,10596.0
507,LA,FL,37777.0
508,LA,GA,48376.0
509,LA,IL,19932.0
510,LA,IN,986.0
511,LA,KY,2102.0
512,LA,LA,83.0
513,LA,MA,6693.0
514,LA,MD,8798.0
515,LA,MI,11061.0
516,LA,MN,6641.0
517,LA,MO,5993.0
518,LA,NC,19015.0
519,LA,NJ,10348.0
520,LA,NV,5854.0
521,LA,NY,13870.0
522,LA,OH,1211.0
523,LA,PA,5181.0
524,LA,TN,7183.0
525,LA,TX,88749.0
526,LA,UT,2091.0
527,LA,WA,4716.0
528,MA,AZ,12502.0
529,MA,CA,57230.0
530,MA,CO,18259.0
531,MA,DC,32182.0
532,MA,FL,150215.0
533,MA,GA,35578.0
534,MA,HI,2567.0
535,MA,IL,35809.0
536,MA,IN,2202.0
537,MA,KY,2820.0
538,MA,LA,5677.0
539,MA,MA,3138.0
540,MA,MD,16184.0
541,MA,ME,784.0
542,MA,MI,14841.0
543,MA,MN,16099.0
544,MA,MO,5584.0
545,MA,NC,34820.0
546,MA,NH,248.0
547,MA,NJ,18265.0
548,MA,NV,10020.0
549,MA,NY,42441.0
550,MA,OH,8251.0
551,MA,OK,84.0
552,MA,OR,2089.0
553,MA,PA,29483.0
554,MA,PR,10446.0
555,MA,SC,7126.0
556,MA,TN,10448.0
557,MA,TX,30311.0
558,MA,UT,7408.0
559,MA,VA,5712.0
560,MA,VI,2066.0
561,MA,VT,243.0
562,MA,WA,9777.0
563,MA,WI,1381.0
564,MA,WV,3.0
565,MD,AL,1539.0
566,MD,AZ,8379.0
567,MD,CA,23490.0
568,MD,CO,17438.0
569,MD,CT,8423.0
570,MD,DC,33.0
571,MD,FL,104447.0
572,MD,GA,32826.0
573,MD,IL,21874.0
574,MD,IN,4909.0
575,MD,KY,7581.0
576,MD,LA,6911.0
577,MD,MA,16006.0
578,MD,ME,6080.0
579,MD,MI,14946.0
580,MD,MN,8783.0
581,MD,MO,8440.0
582,MD,NC,34147.0
583,MD,NH,8430.0
584,MD,NM,2035.0
585,MD,NV,9046.0
586,MD,NY,26760.0
587,MD,OH,7938.0
588,MD,OK,1085.0
589,MD,PA,7265.0
590,MD,PR,8135.0
591,MD,RI,8436.0
592,MD,SC,7826.0
593,MD,SD,31.0
594,MD,TN,11448.0
595,MD,TX,42824.0
596,MD,UT,4347.0
597,MD,VA,6814.0
598,MD,WA,2266.0
599,MD,WI,2188.0
600,MD,WV,124.0
601,ME,DC,6280.0
602,ME,FL,7916.0
603,ME,GA,1795.0
604,ME,IL,1679.0
605,ME,MA,850.0
606,ME,MD,5433.0
607,ME,MI,2162.0
608,ME,NC,4808.0
609,ME,NJ,4793.0
610,ME,NY,6483.0
611,ME,PA,7779.0
612,MI,AL,3208.0
613,MI,AR,289.0
614,MI,AZ,24419.0
615,MI,CA,34593.0
616,MI,CO,20826.0
617,MI,CT,5006.0
618,MI,DC,17643.0
619,MI,FL,154850.0
620,MI,GA,45626.0
621,MI,IA,5431.0
622,MI,IL,52953.0
623,MI,IN,11718.0
624,MI,KY,9544.0
625,MI,LA,8834.0
626,MI,MA,12796.0
627,MI,MD,12865.0
628,MI,ME,2567.0
629,MI,MI,48308.0
630,MI,MN,27490.0
631,MI,MO,15897.0
632,MI,MS,147.0
633,MI,MT,211.0
634,MI,NC,25328.0
635,MI,NE,2478.0
636,MI,NH,2494.0
637,MI,NJ,10362.0
638,MI,NV,24995.0
639,MI,NY,44301.0
640,MI,OH,11638.0
641,MI,OK,1000.0
642,MI,OR,2244.0
643,MI,PA,21667.0
644,MI,PR,2013.0
645,MI,RI,2950.0
646,MI,SC,5340.0
647,MI,TN,17004.0
648,MI,TX,45435.0
649,MI,UT,11265.0
650,MI,VA,5591.0
651,MI,VT,2377.0
652,MI,WA,10678.0
653,MI,WI,19937.0
654,MN,AK,3523.0
655,MN,AR,1002.0
656,MN,AZ,50199.0
657,MN,CA,56882.0
658,MN,CO,33285.0
659,MN,CT,3856.0
660,MN,DC,14447.0
661,MN,FL,102879.0
662,MN,GA,32163.0
663,MN,HI,3471.0
664,MN,IA,5677.0
665,MN,ID,3502.0
666,MN,IL,50834.0
667,MN,IN,6402.0
668,MN,KS,1465.0
669,MN,KY,7154.0
670,MN,LA,5389.0
671,MN,MA,13950.0
672,MN,MD,9242.0
673,MN,MI,27700.0
674,MN,MN,21488.0
675,MN,MO,16169.0
676,MN,MT,13242.0
677,MN,NC,17049.0
678,MN,ND,24448.0
679,MN,NE,6995.0
680,MN,NJ,8889.0
681,MN,NV,26867.0
682,MN,NY,17029.0
683,MN,OH,8082.0
684,MN,OK,1911.0
685,MN,OR,9353.0
686,MN,PA,10060.0
687,MN,PR,1784.0
688,MN,SC,273.0
689,MN,SD,11014.0
690,MN,TN,11799.0
691,MN,TX,40174.0
692,MN,UT,13930.0
693,MN,VA,1713.0
694,MN,WA,22496.0
695,MN,WI,22416.0
696,MO,AL,96.0
697,MO,AR,2831.0
698,MO,AZ,25787.0
699,MO,CA,33266.0
700,MO,CO,34508.0
701,MO,CT,2380.0
702,MO,DC,15823.0
703,MO,FL,60452.0
704,MO,GA,42262.0
705,MO,IA,3535.0
706,MO,ID,9.0
707,MO,IL,50462.0
708,MO,IN,2201.0
709,MO,KS,2951.0
710,MO,KY,1723.0
711,MO,LA,5092.0
712,MO,MA,5895.0
713,MO,MD,8308.0
714,MO,MI,16692.0
715,MO,MN,17020.0
716,MO,MO,10051.0
717,MO,MS,17.0
718,MO,NC,22629.0
719,MO,NE,4375.0
720,MO,NJ,5919.0
721,MO,NM,1498.0
722,MO,NV,17429.0
723,MO,NY,12707.0
724,MO,OH,5146.0
725,MO,OK,5254.0
726,MO,OR,2382.0
727,MO,PA,11077.0
728,MO,SC,160.0
729,MO,TN,8396.0
730,MO,TX,83173.0
731,MO,UT,9495.0
732,MO,WA,8753.0
733,MO,WI,5330.0
734,MS,AZ,147.0
735,MS,CT,159.0
736,MS,DC,556.0
737,MS,FL,1713.0
738,MS,GA,16586.0
739,MS,IL,1174.0
740,MS,IN,423.0
741,MS,KY,104.0
742,MS,MI,163.0
743,MS,MS,25.0
744,MS,NC,5369.0
745,MS,NY,266.0
746,MS,OH,443.0
747,MS,OK,98.0
748,MS,RI,105.0
749,MS,SC,234.0
750,MS,TN,1145.0
751,MS,TX,14874.0
752,MT,AZ,6017.0
753,MT,CA,2614.0
754,MT,CO,23769.0
755,MT,GA,1897.0
756,MT,ID,63.0
757,MT,IL,6813.0
758,MT,MA,5.0
759,MT,MI,186.0
760,MT,MN,12290.0
761,MT,MT,2438.0
762,MT,NJ,1704.0
763,MT,NV,3181.0
764,MT,OR,2745.0
765,MT,PA,75.0
766,MT,TX,6159.0
767,MT,UT,20305.0
768,MT,WA,16936.0
769,NC,AL,13791.0
770,NC,AR,6068.0
771,NC,AZ,22901.0
772,NC,CA,42645.0
773,NC,CO,27483.0
774,NC,CT,14494.0
775,NC,DC,38851.0
776,NC,DE,7.0
777,NC,FL,247652.0
778,NC,GA,90832.0
779,NC,IA,6729.0
780,NC,IL,46978.0
781,NC,IN,14449.0
782,NC,KY,18546.0
783,NC,LA,17203.0
784,NC,MA,36049.0
785,NC,MD,36264.0
786,NC,ME,5342.0
787,NC,MI,30002.0
788,NC,MN,18151.0
789,NC,MO,24295.0
790,NC,MS,5303.0
791,NC,NC,111799.0
792,NC,NE,4187.0
793,NC,NH,4210.0
794,NC,NJ,39018.0
795,NC,NM,150.0
796,NC,NV,16973.0
797,NC,NY,81978.0
798,NC,OH,27220.0
799,NC,OK,5875.0
800,NC,OR,2704.0
801,NC,PA,66475.0
802,NC,PR,7355.0
803,NC,RI,8779.0
804,NC,SC,38777.0
805,NC,TN,44019.0
806,NC,TX,82562.0
807,NC,UT,7062.0
808,NC,VA,46276.0
809,NC,VI,2603.0
810,NC,VT,3165.0
811,NC,WA,9946.0
812,NC,WI,8917.0
813,NC,WV,5164.0
814,ND,AZ,13583.0
815,ND,CO,10953.0
816,ND,FL,2011.0
817,ND,GA,170.0
818,ND,IL,5423.0
819,ND,MN,19846.0
820,ND,ND,657.0
821,ND,NV,4956.0
822,ND,OK,31.0
823,ND,SD,213.0
824,ND,TX,4175.0
825,NE,AZ,11063.0
826,NE,CA,5052.0
827,NE,CO,16824.0
828,NE,DC,2096.0
829,NE,FL,6313.0
830,NE,GA,8587.0
831,NE,ID,19.0
832,NE,IL,17972.0
833,NE,IN,46.0
834,NE,MI,2166.0
835,NE,MN,6704.0
836,NE,MO,3708.0
837,NE,NC,3447.0
838,NE,NE,50.0
839,NE,NJ,1601.0
840,NE,NV,6921.0
841,NE,NY,1244.0
842,NE,PA,784.0
843,NE,TN,337.0
844,NE,TX,15859.0
845,NE,UT,1638.0
846,NE,WA,2102.0
847,NE,WI,159.0
848,NH,CO,13.0
849,NH,DC,4120.0
850,NH,FL,9044.0
851,NH,GA,142.0
852,NH,IL,2249.0
853,NH,MA,242.0
854,NH,MD,7259.0
855,NH,MI,2613.0
856,NH,NC,3844.0
857,NH,NY,574.0
858,NH,PA,2944.0
859,NH,VA,50.0
860,NH,VT,13.0
861,NJ,AL,7.0
862,NJ,AR,593.0
863,NJ,AZ,18101.0
864,NJ,CA,71001.0
865,NJ,CO,18692.0
866,NJ,DC,12175.0
867,NJ,FL,233126.0
868,NJ,GA,37531.0
869,NJ,HI,2827.0
870,NJ,IA,86.0
871,NJ,IL,22764.0
872,NJ,IN,3553.0
873,NJ,KS,3.0
874,NJ,KY,6744.0
875,NJ,LA,8867.0
876,NJ,MA,20969.0
877,NJ,ME,5627.0
878,NJ,MI,10638.0
879,NJ,MN,10203.0
880,NJ,MO,6336.0
881,NJ,MT,1433.0
882,NJ,NC,40221.0
883,NJ,NE,1860.0
884,NJ,NH,13.0
885,NJ,NV,16065.0
886,NJ,NY,10389.0
887,NJ,OH,10516.0
888,NJ,OR,4983.0
889,NJ,PA,6742.0
890,NJ,PR,21337.0
891,NJ,RI,2188.0
892,NJ,SC,10258.0
893,NJ,TN,10137.0
894,NJ,TX,47310.0
895,NJ,UT,7204.0
896,NJ,VA,6076.0
897,NJ,VI,2227.0
898,NJ,VT,3132.0
899,NJ,WA,7200.0
900,NJ,WI,3119.0
901,NJ,WY,1382.0
902,NM,AR,57.0
903,NM,AZ,15723.0
904,NM,CA,14138.0
905,NM,CO,12419.0
906,NM,DC,112.0
907,NM,GA,4653.0
908,NM,IL,6407.0
909,NM,MD,2333.0
910,NM,MO,1385.0
911,NM,NM,737.0
912,NM,NV,5793.0
913,NM,NY,1537.0
914,NM,OR,1150.0
915,NM,TX,37802.0
916,NM,UT,3105.0
917,NM,WA,1980.0
918,NV,AL,1897.0
919,NV,AR,2417.0
920,NV,AZ,51491.0
921,NV,CA,245904.0
922,NV,CO,56418.0
923,NV,DC,7029.0
924,NV,FL,32893.0
925,NV,GA,36510.0
926,NV,HI,16233.0
927,NV,IA,5515.0
928,NV,ID,4745.0
929,NV,IL,58752.0
930,NV,IN,11402.0
931,NV,KS,2460.0
932,NV,KY,7614.0
933,NV,LA,5259.0
934,NV,MA,12268.0
935,NV,MD,11269.0
936,NV,MI,31485.0
937,NV,MN,32608.0
938,NV,MO,21317.0
939,NV,MT,3608.0
940,NV,NC,21026.0
941,NV,ND,5910.0
942,NV,NE,7424.0
943,NV,NJ,19154.0
944,NV,NM,5839.0
945,NV,NV,34038.0
946,NV,NY,19649.0
947,NV,OH,15503.0
948,NV,OK,6963.0
949,NV,OR,28132.0
950,NV,PA,16130.0
951,NV,SD,2696.0
952,NV,TN,12126.0
953,NV,TX,128197.0
954,NV,UT,26683.0
955,NV,VA,1105.0
956,NV,WA,55288.0
957,NV,WI,9963.0
958,NY,AL,1718.0
959,NY,AR,1393.0
960,NY,AZ,18621.0
961,NY,CA,118884.0
962,NY,CO,32655.0
963,NY,CT,8.0
964,NY,DC,39443.0
965,NY,FL,362385.0
966,NY,GA,99532.0
967,NY,HI,3695.0
968,NY,IA,877.0
969,NY,IL,94463.0
970,NY,IN,6845.0
971,NY,KS,154.0
972,NY,KY,9586.0
973,NY,LA,12584.0
974,NY,MA,46359.0
975,NY,MD,25714.0
976,NY,ME,7081.0
977,NY,MI,51004.0
978,NY,MN,20673.0
979,NY,MO,15058.0
980,NY,MS,273.0
981,NY,NC,83423.0
982,NY,NE,1770.0
983,NY,NH,646.0
984,NY,NJ,9445.0
985,NY,NM,1813.0
986,NY,NV,15676.0
987,NY,NY,48921.0
988,NY,OH,18812.0
989,NY,OK,51.0
990,NY,OR,6643.0
991,NY,PA,30675.0
992,NY,PR,24961.0
993,NY,RI,47.0
994,NY,SC,17357.0
995,NY,TN,21210.0
996,NY,TX,83073.0
997,NY,UT,17187.0
998,NY,VA,13541.0
999,NY,VI,2447.0
1000,NY,VT,7548.0
1001,NY,WA,15016.0
1002,NY,WI,6531.0
1003,NY,WY,291.0
1004,OH,AL,5.0
1005,OH,AR,22.0
1006,OH,AZ,10869.0
1007,OH,CA,13159.0
1008,OH,CO,17665.0
1009,OH,CT,447.0
1010,OH,DC,17009.0
1011,OH,FL,108500.0
1012,OH,GA,44050.0
1013,OH,IL,45495.0
1014,OH,KY,22.0
1015,OH,LA,1078.0
1016,OH,MA,7715.0
1017,OH,MD,7104.0
1018,OH,MI,10850.0
1019,OH,MN,8063.0
1020,OH,MO,5557.0
1021,OH,MS,312.0
1022,OH,MT,95.0
1023,OH,NC,24053.0
1024,OH,NJ,8492.0
1025,OH,NM,17.0
1026,OH,NV,12524.0
1027,OH,NY,15955.0
1028,OH,OH,942.0
1029,OH,OK,3.0
1030,OH,PA,8822.0
1031,OH,SC,1397.0
1032,OH,TN,6573.0
