,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
720,NC,AZ,22901.0
721,NC,CA,42645.0
722,NC,CO,27483.0
723,NC,CT,14494.0
724,NC,DE,7.0
725,NC,FL,247652.0
726,NC,GA,90832.0
727,NC,IA,6729.0
728,NC,IL,46978.0
729,NC,IN,14449.0
730,NC,KY,18546.0
731,NC,LA,17203.0
732,NC,MA,36049.0
733,NC,MD,36264.0
734,NC,ME,5342.0
735,NC,MI,30002.0
736,NC,MN,18151.0
737,NC,MO,24295.0
738,NC,MS,5303.0
739,NC,NC,111799.0
740,NC,NE,4187.0
741,NC,NH,4210.0
742,NC,NJ,39018.0
743,NC,NM,150.0
744,NC,NV,16973.0
745,NC,NY,81978.0
746,NC,OH,27220.0
747,NC,OK,5875.0
748,NC,OR,2704.0
749,NC,PA,66475.0
750,NC,PR,7355.0
751,NC,RI,8779.0
752,NC,SC,38777.0
753,NC,TN,44019.0
754,NC,TX,82562.0
755,NC,UT,7062.0
756,NC,VA,85127.0
757,NC,VI,2603.0
758,NC,VT,3165.0
759,NC,WA,9946.0
760,NC,WI,8917.0
761,NC,WV,5164.0
762,ND,AZ,13583.0
763,ND,CO,10953.0
764,ND,FL,2011.0
765,ND,GA,170.0
766,ND,IL,5423.0
767,ND,MN,19846.0
768,ND,ND,657.0
769,ND,NV,4956.0
770,ND,OK,31.0
771,ND,SD,213.0
772,ND,TX,4175.0
773,NE,AZ,11063.0
774,NE,CA,5052.0
775,NE,CO,16824.0
776,NE,FL,6313.0
777,NE,GA,8587.0
778,NE,ID,19.0
779,NE,IL,17972.0
780,NE,IN,46.0
781,NE,MI,2166.0
782,NE,MN,6704.0
783,NE,MO,3708.0
784,NE,NC,3447.0
785,NE,NE,50.0
786,NE,NJ,1601.0
787,NE,NV,6921.0
788,NE,NY,1244.0
789,NE,PA,784.0
790,NE,TN,337.0
791,NE,TX,15859.0
792,NE,UT,1638.0
793,NE,VA,2096.0
794,NE,WA,2102.0
795,NE,WI,159.0
796,NH,CO,13.0
797,NH,FL,9044.0
798,NH,GA,142.0
799,NH,IL,2249.0
800,NH,MA,242.0
801,NH,MD,7259.0
802,NH,MI,2613.0
803,NH,NC,3844.0
804,NH,NY,574.0
805,NH,PA,2944.0
806,NH,VA,4170.0
807,NH,VT,13.0
808,NJ,AL,7.0
809,NJ,AR,593.0
810,NJ,AZ,18101.0
811,NJ,CA,71001.0
812,NJ,CO,18692.0
813,NJ,FL,233126.0
814,NJ,GA,37531.0
815,NJ,HI,2827.0
816,NJ,IA,86.0
817,NJ,IL,22764.0
818,NJ,IN,3553.0
819,NJ,KS,3.0
820,NJ,KY,6744.0
821,NJ,LA,8867.0
822,NJ,MA,20969.0
823,NJ,ME,5627.0
824,NJ,MI,10638.0
825,NJ,MN,10203.0
826,NJ,MO,6336.0
827,NJ,MT,1433.0
828,NJ,NC,40221.0
829,NJ,NE,1860.0
830,NJ,NH,13.0
831,NJ,NV,16065.0
832,NJ,NY,10389.0
833,NJ,OH,10516.0
834,NJ,OR,4983.0
835,NJ,PA,6742.0
836,NJ,PR,21337.0
837,NJ,RI,2188.0
838,NJ,SC,10258.0
839,NJ,TN,10137.0
840,NJ,TX,47310.0
841,NJ,UT,7204.0
842,NJ,VA,18251.0
843,NJ,VI,2227.0
844,NJ,VT,3132.0
845,NJ,WA,7200.0
846,NJ,WI,3119.0
847,NJ,WY,1382.0
848,NM,AR,57.0
849,NM,AZ,15723.0
850,NM,CA,14138.0
851,NM,CO,12419.0
852,NM,GA,4653.0
853,NM,IL,6407.0
854,NM,MD,2333.0
855,NM,MO,1385.0
856,NM,NM,737.0
857,NM,NV,5793.0
858,NM,NY,1537.0
859,NM,OR,1150.0
860,NM,TX,37802.0
861,NM,UT,3105.0
862,NM,VA,112.0
863,NM,WA,1980.0
864,NV,AL,1897.0
865,NV,AR,2417.0
866,NV,AZ,51491.0
867,NV,CA,245904.0
868,NV,CO,56418.0
869,NV,FL,32893.0
870,NV,GA,36510.0
871,NV,HI,16233.0
872,NV,IA,5515.0
873,NV,ID,4745.0
874,NV,IL,58752.0
875,NV,IN,11402.0
876,NV,KS,2460.0
877,NV,KY,7614.0
878,NV,LA,5259.0
879,NV,MA,12268.0
880,NV,MD,11269.0
881,NV,MI,31485.0
882,NV,MN,32608.0
883,NV,MO,21317.0
884,NV,MT,3608.0
885,NV,NC,21026.0
886,NV,ND,5910.0
887,NV,NE,7424.0
888,NV,NJ,19154.0
889,NV,NM,5839.0
890,NV,NV,34038.0
891,NV,NY,19649.0
892,NV,OH,15503.0
893,NV,OK,6963.0
894,NV,OR,28132.0
895,NV,PA,16130.0
896,NV,SD,2696.0
897,NV,TN,12126.0
898,NV,TX,128197.0
899,NV,UT,26683.0
900,NV,VA,8134.0
901,NV,WA,55288.0
902,NV,WI,9963.0
903,NY,AL,1718.0
904,NY,AR,1393.0
905,NY,AZ,18621.0
906,NY,CA,118884.0
907,NY,CO,32655.0
908,NY,CT,8.0
909,NY,FL,362385.0
910,NY,GA,99532.0
911,NY,HI,3695.0
912,NY,IA,877.0
913,NY,IL,94463.0
914,NY,IN,6845.0
915,NY,KS,154.0
916,NY,KY,9586.0
917,NY,LA,12584.0
918,NY,MA,46359.0
919,NY,MD,25714.0
920,NY,ME,7081.0
921,NY,MI,51004.0
922,NY,MN,20673.0
923,NY,MO,15058.0
924,NY,MS,273.0
925,NY,NC,83423.0
926,NY,NE,1770.0
927,NY,NH,646.0
928,NY,NJ,9445.0
929,NY,NM,1813.0
930,NY,NV,15676.0
931,NY,NY,48921.0
932,NY,OH,18812.0
933,NY,OK,51.0
934,NY,OR,6643.0
