"PASSENGERS","DISTANCE","AIR_TIME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","AIRCRAFT_TYPE","MONTH","DISTANCE_GROUP",
1142.00,248.00,2673.00,11995,"GSO","Greensboro/High Point, NC","NC","North Carolina",11278,"DCA","Washington, DC","VA","Virginia","629",3,1,
1142.00,456.00,1702.00,11292,"DEN","Denver, CO","CO","Colorado",12896,"LBB","Lubbock, TX","TX","Texas","612",3,1,
1143.00,2419.00,6407.00,12264,"IAD","Washington, DC","VA","Virginia",14771,"SFO","San Francisco, CA","CA","California","622",3,5,
1143.00,683.00,1564.00,11057,"CLT","Charlotte, NC","NC","North Carolina",14307,"PVD","Providence, RI","RI","Rhode Island","694",3,2,
1143.00,214.00,961.00,10693,"BNA","Nashville, TN","TN","Tennessee",10397,"ATL","Atlanta, GA","GA","Georgia","656",3,1,
1143.00,1246.00,1944.00,15024,"STT","Charlotte Amalie, VI","VI","U.S. Virgin Islands",13204,"MCO","Orlando, FL","FL","Florida","698",3,3,
1144.00,550.00,4712.00,10994,"CHS","Charleston, SC","SC","South Carolina",14100,"PHL","Philadelphia, PA","PA","Pennsylvania","675",3,2,
1144.00,675.00,2224.00,14100,"PHL","Philadelphia, PA","PA","Pennsylvania",10693,"BNA","Nashville, TN","TN","Tennessee","694",3,2,
1144.00,952.00,4026.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",11603,"EUG","Eugene, OR","OR","Oregon","631",3,2,
1144.00,896.00,1231.00,11292,"DEN","Denver, CO","CO","Colorado",13342,"MKE","Milwaukee, WI","WI","Wisconsin","698",3,2,
1144.00,1117.00,3706.00,12266,"IAH","Houston, TX","TX","Texas",14122,"PIT","Pittsburgh, PA","PA","Pennsylvania","673",3,3,
1145.00,328.00,747.00,11057,"CLT","Charlotte, NC","NC","North Carolina",12451,"JAX","Jacksonville, FL","FL","Florida","694",3,1,
1145.00,429.00,3549.00,12266,"IAH","Houston, TX","TX","Texas",15370,"TUL","Tulsa, OK","OK","Oklahoma","629",3,1,
1145.00,320.00,2866.00,14869,"SLC","Salt Lake City, UT","UT","Utah",11122,"CPR","Casper, WY","WY","Wyoming","629",3,1,
1145.00,893.00,3826.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",14489,"RDM","Bend/Redmond, OR","OR","Oregon","631",3,2,
1145.00,926.00,3498.00,14869,"SLC","Salt Lake City, UT","UT","Utah",15370,"TUL","Tulsa, OK","OK","Oklahoma","673",3,2,
1145.00,954.00,2851.00,14747,"SEA","Seattle, WA","WA","Washington",12892,"LAX","Los Angeles, CA","CA","California","698",3,2,
1145.00,654.00,6494.00,10135,"ABE","Allentown/Bethlehem/Easton, PA","PA","Pennsylvania",13930,"ORD","Chicago, IL","IL","Illinois","530",3,2,
1145.00,1587.00,3643.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",10397,"ATL","Atlanta, GA","GA","Georgia","614",3,4,
